2026-04-21 08:30:40,460 | INFO | amazon_goods_monitor | -----------开始爬取商品信息-----------
2026-04-21 08:30:41,296 | ERROR | amazon_goods_monitor | [卖家精灵] 请求失败（第 1 次）: Expecting value: line 1 column 1 (char 0)
2026-04-21 08:30:43,545 | INFO | amazon_goods_monitor | 浏览器初始化成功
2026-04-21 08:30:49,977 | INFO | amazon_goods_monitor | ✅ 登录成功
2026-04-21 08:30:49,983 | INFO | amazon_goods_monitor | ✅ Cookies已保存到: D:\sd14\SellerSprite\data\cookies\sellersprite_cookie.json
2026-04-21 08:30:50,166 | INFO | amazon_goods_monitor | 浏览器已关闭
2026-04-21 08:30:52,872 | INFO | amazon_goods_monitor | -----------开始爬取商品流量信息-----------
2026-04-21 08:30:53,580 | INFO | amazon_goods_monitor | ✅ 加载 8 个代理
2026-04-21 08:30:53,580 | INFO | amazon_goods_monitor | -----------开始爬取优惠券信息-----------
2026-04-21 08:30:53,581 | INFO | amazon_goods_monitor | 开始抓取: https://www.amazon.com/dp/B0DVMKNLY5?psc=1
2026-04-21 08:30:54,838 | INFO | amazon_goods_monitor | ✅ 已设置邮编 90002 (amazon.com)
2026-04-21 08:30:54,846 | INFO | amazon_goods_monitor | 📡 获取新代理: socks5://XEZQOPMX7M:53843223@121.229.211.102:15252
2026-04-21 08:30:54,847 | INFO | amazon_goods_monitor | 使用代理: 121.229.211.102:15252 (尝试 1/3)
2026-04-21 08:30:54,847 | INFO | amazon_goods_monitor | ⏳ 等待 0.7 秒...
2026-04-21 08:30:55,504 | INFO | amazon_goods_monitor | 请求URL: https://www.amazon.com/dp/B0DVMKNLY5?psc=1
2026-04-21 08:31:00,324 | INFO | amazon_goods_monitor | ✅ 请求成功 - 状态码: 200
2026-04-21 08:31:01,291 | INFO | amazon_goods_monitor | 没有优惠券
2026-04-21 08:31:01,297 | INFO | amazon_goods_monitor | -----------开始爬取商品信息-----------
2026-04-21 08:31:01,991 | INFO | amazon_goods_monitor | -----------开始爬取商品流量信息-----------
2026-04-21 08:31:02,699 | INFO | amazon_goods_monitor | ✅ 加载 8 个代理
2026-04-21 08:31:02,699 | INFO | amazon_goods_monitor | -----------开始爬取优惠券信息-----------
2026-04-21 08:31:02,700 | INFO | amazon_goods_monitor | 开始抓取: https://www.amazon.com/dp/B0DVHMTQMG?th=1
2026-04-21 08:31:03,786 | INFO | amazon_goods_monitor | ✅ 已设置邮编 90002 (amazon.com)
2026-04-21 08:31:03,793 | INFO | amazon_goods_monitor | 📡 获取新代理: socks5://PXBHAK1C2C:80609506@1.194.218.235:12509
2026-04-21 08:31:03,793 | INFO | amazon_goods_monitor | 使用代理: 1.194.218.235:12509 (尝试 1/3)
2026-04-21 08:31:03,793 | INFO | amazon_goods_monitor | ⏳ 等待 0.3 秒...
2026-04-21 08:31:04,131 | INFO | amazon_goods_monitor | 请求URL: https://www.amazon.com/dp/B0DVHMTQMG?th=1
2026-04-21 08:31:07,966 | INFO | amazon_goods_monitor | ✅ 请求成功 - 状态码: 200
2026-04-21 08:31:09,010 | INFO | amazon_goods_monitor | 没有优惠券
2026-04-21 08:31:09,014 | INFO | amazon_goods_monitor | -----------开始爬取商品信息-----------
2026-04-21 08:31:09,702 | INFO | amazon_goods_monitor | -----------开始爬取商品流量信息-----------
2026-04-21 08:31:10,478 | INFO | amazon_goods_monitor | ✅ 加载 8 个代理
2026-04-21 08:31:10,478 | INFO | amazon_goods_monitor | -----------开始爬取优惠券信息-----------
2026-04-21 08:31:10,479 | INFO | amazon_goods_monitor | 开始抓取: https://www.amazon.com/dp/B0G6ZG554Q?th=1
2026-04-21 08:31:13,682 | INFO | amazon_goods_monitor | ✅ 已设置邮编 90002 (amazon.com)
2026-04-21 08:31:13,694 | INFO | amazon_goods_monitor | 📡 获取新代理: socks5://LLW0BU7VGQ:39267509@124.236.76.149:17745
2026-04-21 08:31:13,694 | INFO | amazon_goods_monitor | 使用代理: 124.236.76.149:17745 (尝试 1/3)
2026-04-21 08:31:13,694 | INFO | amazon_goods_monitor | ⏳ 等待 0.2 秒...
2026-04-21 08:31:13,944 | INFO | amazon_goods_monitor | 请求URL: https://www.amazon.com/dp/B0G6ZG554Q?th=1
2026-04-21 08:31:17,432 | INFO | amazon_goods_monitor | ✅ 请求成功 - 状态码: 200
2026-04-21 08:31:18,470 | INFO | amazon_goods_monitor | 没有优惠券
2026-04-21 08:31:18,475 | INFO | amazon_goods_monitor | -----------开始爬取商品信息-----------
2026-04-21 08:31:19,176 | INFO | amazon_goods_monitor | -----------开始爬取商品流量信息-----------
2026-04-21 08:31:19,935 | INFO | amazon_goods_monitor | ✅ 加载 8 个代理
2026-04-21 08:31:19,935 | INFO | amazon_goods_monitor | -----------开始爬取优惠券信息-----------
2026-04-21 08:31:19,936 | INFO | amazon_goods_monitor | 开始抓取: https://www.amazon.com/dp/B0FHVLMDQR?th=1
2026-04-21 08:31:21,370 | INFO | amazon_goods_monitor | ✅ 已设置邮编 90002 (amazon.com)
2026-04-21 08:31:21,384 | INFO | amazon_goods_monitor | 📡 获取新代理: socks5://WVKYFTS670:14418351@121.14.201.248:11074
2026-04-21 08:31:21,384 | INFO | amazon_goods_monitor | 使用代理: 121.14.201.248:11074 (尝试 1/3)
2026-04-21 08:31:21,384 | INFO | amazon_goods_monitor | ⏳ 等待 0.1 秒...
2026-04-21 08:31:21,497 | INFO | amazon_goods_monitor | 请求URL: https://www.amazon.com/dp/B0FHVLMDQR?th=1
2026-04-21 08:31:24,264 | INFO | amazon_goods_monitor | ✅ 请求成功 - 状态码: 200
2026-04-21 08:31:25,039 | INFO | amazon_goods_monitor | 标题: Marbles Balance Game for Kids - 60 Colorful Marbles Built-in Storage, Fun Family Party Games,Challenge Board Games for Kids & Adults,1-4 Players, Christmas Birthday Gifts Toys for Kids
2026-04-21 08:31:25,079 | INFO | amazon_goods_monitor | 没有优惠券
2026-04-21 08:31:25,083 | INFO | amazon_goods_monitor | -----------开始爬取商品信息-----------
2026-04-21 08:31:25,632 | INFO | amazon_goods_monitor | -----------开始爬取商品流量信息-----------
2026-04-21 08:31:26,334 | INFO | amazon_goods_monitor | ✅ 加载 8 个代理
2026-04-21 08:31:26,334 | INFO | amazon_goods_monitor | -----------开始爬取优惠券信息-----------
2026-04-21 08:31:26,334 | INFO | amazon_goods_monitor | 开始抓取: https://www.amazon.com/dp/B0FP2LF8ZX?psc=1
2026-04-21 08:31:27,470 | INFO | amazon_goods_monitor | ✅ 已设置邮编 90002 (amazon.com)
2026-04-21 08:31:27,481 | INFO | amazon_goods_monitor | 📡 获取新代理: socks5://PXBHAK1C2C:80609506@1.194.218.235:12509
2026-04-21 08:31:27,481 | INFO | amazon_goods_monitor | 使用代理: 1.194.218.235:12509 (尝试 1/3)
2026-04-21 08:31:27,482 | INFO | amazon_goods_monitor | ⏳ 等待 0.6 秒...
2026-04-21 08:31:28,089 | INFO | amazon_goods_monitor | 请求URL: https://www.amazon.com/dp/B0FP2LF8ZX?psc=1
2026-04-21 08:31:44,242 | INFO | amazon_goods_monitor | ✅ 请求成功 - 状态码: 200
2026-04-21 08:31:45,168 | INFO | amazon_goods_monitor | 标题: Face Changing Building Block Word Spelling Game Two-Piece Set，Wooden Expression Letter Puzzle Cubes Board Game,for Kids Ages 3+ Boys and Girls Educational Toy Gifts.
2026-04-21 08:31:45,208 | INFO | amazon_goods_monitor | 没有优惠券
2026-04-21 08:31:45,213 | INFO | amazon_goods_monitor | -----------开始爬取商品信息-----------
2026-04-21 08:31:45,909 | INFO | amazon_goods_monitor | -----------开始爬取商品流量信息-----------
2026-04-21 08:31:46,676 | INFO | amazon_goods_monitor | ✅ 加载 8 个代理
2026-04-21 08:31:46,677 | INFO | amazon_goods_monitor | -----------开始爬取优惠券信息-----------
2026-04-21 08:31:46,678 | INFO | amazon_goods_monitor | 开始抓取: https://www.amazon.com/dp/B0DVDZZ2B4
2026-04-21 08:31:47,973 | INFO | amazon_goods_monitor | ✅ 已设置邮编 90002 (amazon.com)
2026-04-21 08:31:47,985 | INFO | amazon_goods_monitor | 📡 获取新代理: socks5://YKEW9SOB5S:32342415@218.78.129.68:15654
2026-04-21 08:31:47,985 | INFO | amazon_goods_monitor | 使用代理: 218.78.129.68:15654 (尝试 1/3)
2026-04-21 08:31:47,985 | INFO | amazon_goods_monitor | ⏳ 等待 0.7 秒...
